time	a	b
ps	kV/cm	kV/cm
0.00000	-2.55696	-2.89152
0.03336	2.10912	-2.0304
0.06671	6.31776	0.06384
0.10007	9.55008	2.33424
0.13342	12.92784	4.02384
0.16678	14.19168	4.99344
0.20013	14.73648	4.95648
0.23349	12.94512	4.07136
0.26684	10.848	2.6232
0.30020	7.81296	0.18384
0.33356	5.56224	-1.07424
0.36691	2.75136	-1.30944
0.40027	0.94992	-3.4824
0.43362	0.90144	-2.44992
0.46698	-0.00576	-3.16272
0.50033	-0.47712	-4.13904
0.53369	1.47744	-3.62064
0.56704	3.53376	-3.64944
0.6004	6.2232	-2.40672
0.63376	9.19584	-2.2488
0.66711	10.59264	-0.94848
0.70047	11.9496	-0.4896
0.73382	13.90368	1.61856
0.76718	14.79456	2.02896
0.80053	14.42928	3.22416
0.83389	14.69664	2.37504
0.86724	12.96336	2.2656
0.9006	12.09024	2.60688
0.93396	10.44288	1.66128
0.96731	9.5544	1.31856
1.00067	9.50688	1.13136
1.03402	9.324	2.076
1.06738	9.44592	3.10464
1.10073	9.80448	3.78624
1.13409	10.42848	3.88464
1.16744	10.14624	4.29696
1.2008	10.71744	2.03184
1.23416	10.74144	1.17504
1.26751	11.29392	-1.39296
1.30087	12.27216	-2.99136
1.33422	14.484	-2.91072
1.36758	15.33264	-2.77056
1.40093	16.37376	-2.19456
1.43429	17.77248	-0.33168
1.46765	17.4864	1.71264
1.501	17.02848	2.93904
1.53436	14.20224	3.15072
1.56771	10.47888	2.71968
1.60107	4.25232	0.82608
1.63442	-2.6328	-1.53504
1.66778	-10.33536	-3.80208
1.70113	-18.71472	-7.18128
1.73449	-28.8456	-10.90176
1.76785	-39.21744	-14.62752
1.8012	-49.02864	-16.93536
1.83456	-63.51024	-20.98656
1.86791	-78.50592	-25.18032
1.90127	-95.61984	-29.35344
1.93462	-114.37488	-33.63696
1.96798	-137.49504	-40.9176
2.00133	-159.21216	-46.9464
2.03469	-179.00112	-52.05312
2.06805	-198.012	-57.47424
2.1014	-210.59136	-61.1784
2.13476	-220.03488	-62.55936
2.16811	-217.95456	-61.89072
2.20147	-207.36384	-58.7088
2.23482	-185.70384	-49.87632
2.26818	-150.52896	-39.12816
2.30153	-95.31168	-21.95664
2.33489	-25.4928	0.3288
2.36825	65.42256	32.1336
2.4016	174.52992	65.65056
2.43496	301.66368	107.80848
2.46831	452.8152	155.69184
2.50167	620.43168	206.0256
2.53502	764.65248	250.992
2.56838	902.82144	299.1
2.60173	986.56944	329.27952
2.63509	1036.5168	344.52528
2.66845	1023.91392	334.83072
2.7018	931.74576	292.75824
2.73516	728.73312	216.2976
2.76851	353.4624	87.13968
2.80187	-51.29184	-60.76896
2.83522	-497.22672	-213.16272
2.86858	-1008.81456	-381.44928
2.90193	-1390.3368	-550.64592
2.93529	-1563.96912	-668.63328
2.96865	-1578.59424	-697.77456
3.002	-1425.19296	-614.68416
3.03536	-1124.78544	-474.13776
3.06871	-653.9136	-295.02624
3.10207	-137.19216	-101.68176
3.13542	241.85616	77.6952
3.16878	541.9464	229.9536
3.20213	690.40512	325.01232
3.23549	681.43872	366.3264
3.26885	542.65248	347.13792
3.3022	317.91408	286.46496
3.33556	54.77472	190.91664
3.36891	-186.63648	87.9312
3.40227	-336.83328	3.15264
3.43562	-388.92336	-52.75632
3.46898	-341.38896	-73.94208
3.50233	-243.9744	-69.7128
3.53569	-100.69536	-44.42496
3.56905	20.13264	-15.6192
3.6024	105.09984	9.04512
3.63576	134.44896	18.3912
3.66911	106.96272	11.7744
3.70247	60.70128	-3.59952
3.73582	6.39168	-24.15888
3.76918	-23.56848	-37.5696
3.80254	-18.42432	-40.3272
3.83589	11.94816	-32.69184
3.86925	66.47472	-14.71968
3.9026	130.02624	10.49088
3.93596	183.82416	31.34592
3.96931	214.10976	44.9976
4.00267	217.644	49.40496
4.03602	190.53696	41.9376
4.06938	146.1816	26.91168
4.10274	93.20928	6.828
4.13609	41.51232	-12.80208
4.16945	7.55904	-27.65088
4.2028	-7.24464	-33.31008
4.23616	-10.84992	-33.5112
4.26951	-4.59792	-27.49104
4.30287	-3.02448	-20.3928
4.33622	-3.48192	-12.38784
4.36958	-14.8752	-7.29312
4.40294	-32.49744	-4.30176
4.43629	-53.08608	-4.9032
4.46965	-67.54848	-6.6192
4.503	-68.22432	-5.38032
4.53636	-54.75168	-2.08416
4.56971	-28.3728	4.74816
4.60307	3.53904	13.29168
4.63642	38.86608	24.12864
4.66978	67.60512	33.80832
4.70314	84.57072	39.65472
4.73649	87.24864	41.70384
4.76985	72.96432	37.39728
4.8032	46.76688	28.0104
4.83656	12.67872	14.1456
4.86991	-22.67856	-0.42528
4.90327	-54.4056	-14.8632
4.93662	-75.13104	-25.93872
4.96998	-84.07104	-32.73024
5.00334	-82.01712	-35.59632
5.03669	-68.90736	-33.16224
5.07005	-45.13728	-26.81424
5.1034	-15.16704	-15.35616
5.13676	15.20496	-3.79344
5.17011	41.75472	7.71312
5.20347	63.07248	17.02512
5.23682	73.20096	20.75664
5.27018	75.97104	21.26784
5.30354	68.9568	18.18288
5.33689	56.25696	10.12464
5.37025	39.71136	1.44624
5.4036	22.404	-6.43872
5.43696	9.47136	-11.79696
5.47031	1.56864	-15.60672
5.50367	-0.20832	-15.07008
5.53702	1.5264	-11.30304
5.57038	3.66528	-6.09888
5.60374	4.70736	-0.54
5.63709	2.73552	3.9984
5.67045	-4.04112	5.51328
5.7038	-13.6104	7.15632
5.73716	-22.5816	5.95824
5.77051	-29.51664	3.05376
5.80387	-30.87696	0.89424
5.83722	-25.97952	-0.03504
5.87058	-15.42384	1.70256
5.90394	-0.50544	4.47936
5.93729	11.41056	3.20112
5.97065	19.54464	4.31088
6.004	22.33536	3.30192
6.03736	16.58208	-1.64208
6.07071	4.84992	-6.57648
6.10407	-12.80976	-14.65632
6.13742	-30.85488	-21.73104
6.17078	-43.15872	-26.52048
6.20414	-50.3448	-28.66992
6.23749	-47.31744	-25.71216
6.27085	-37.52448	-19.25712
6.3042	-23.10048	-10.89264
6.33756	-7.1544	-2.78688
6.37091	10.32384	8.28048
6.40427	21.94032	14.63712
6.43763	29.208	19.45968
6.47098	32.27232	20.5056
6.50434	33.51888	19.42896
6.53769	31.52064	17.1672
6.57105	29.2632	13.2096
6.6044	26.72112	9.61536
6.63776	23.4984	6.31152
6.67111	17.39232	2.26608
